country,reg,trans,HIV.AIDS,Malaria,density,latitude,longitude,rainfall,temp,GDPpc,PerUrb,Diabetes_prevalence,cardioDR,Hospital_beds_per_thousand,PropOver_70,AirConnectivityIndex,IHME_meanExcessDeaths,IHME_lowerCIExcessDeaths,IHME_upperCIExcessDeaths,WHO_meanExcessDeaths,WHO_lowerCIExcessDeaths,WHO_upperCIExcessDeaths,pscore.mean,pscore.mean.se,lag_rate,pop,PathCompPC1,PathCompPC2,PathCompPC3,cases,deaths,log_tests,log_cases,log_pop,IDburd_perMil,Vaccinated_perMil
Afghanistan,EMed,clust,1.41588e-4,0.01072646,56.93776001,33.93911,67.709953,26.84327013,13.54560946,521.6847275,25.2644,9.59,597.029,0.5,2.615794214,0.03,192000,142000,242000,44532.80256,-83799.72319,200409.6655,8.9023859,0.097736979,13.127428634400001,38928341,0.55192400654245,2.874320546474172,-0.1649109152951887,55384,2414,11.267159917421722,10.922046022357861,17.477233103728686,85859.75235882771,106979.38553302335
Albania,Euro,clust,1.23e-5,0,104.6122628,41.153332,20.168331,82.68188798,12.10643452,4649.100558,59.3572,10.08,304.195,2.89,14.20263062,0.07,17300,16500,18100,12688.67702,7203.051763,17862.7292,18.1628587,0.030533502,17.37927485983333,2837743,-1.8352909335144625,0.5655499950612406,0.07651142345924443,85088,1452,9.93665314345912,11.351441294042747,14.858519575871526,8963.849872944802,402330.6550311286
Algeria,Afri,comm,2.39969e-4,5.3e-5,17.73007507,28.033886,1.659626,6.835601538,23.43961026,4074.3967940000002,72.0354,6.73,278.364,1.9,6.552777882,0.07,54400,41600,65500,69587.05713,1857.941123,147643.4252,16.9504538,0.078573226,13.958802528624998,43851043,-1.290799701367277,0.8965280467173344,-0.4265741178248094,109313,2918,10.378517186483533,11.601970605792808,17.59630906213243,10715.438686372865,162708.6954351348
American Samoa,WPac,No_cases,2.65309e-4,0,277.325,-14.270972,-170.132217,258.0466173,27.58954712,11457.60556,87.1812,12.02,266.653,1.3,4.691855102,0.02,22,23800,21900,17035.57142,10065.85512,8564.082751,1.746593856,0.303498815,-5.1973840704,55197,-0.14788992892771935,-0.9230180048838774,1.8834729455966635,0,0,10.043523631245531,-Inf,10.918663882962203,20263.057466891314,1028189.9378589415
Andorra,Euro,comm,0.001381292,0,163.8425532,42.546245,1.601554,63.13818955,11.95374638,38975.90305,88.1578,7.97,109.135,3.861,22.35669072,0.06,328,286,376,374.5988272,-54.65049751,875.2939434,30.1739305,0.22223048,11.976755953800001,77265,-2.1033162692800436,0.32131161342352815,-0.4295999710346856,10275,106,10.340895867124265,9.237469039364436,11.254996350667795,7458.639258396427,567145745.1627516
Angola,Afri,comm,0.013121521,0.118632222,24.71305206,-11.202692,17.873887,80.56724208,22.13381538,3569.847758,64.825,3.94,276.045,0.9,2.19934175,0.01,64000,46000,88900,22685.01187,-87613.44843,155960.8951,4.9540306,0.090863378,11.239115237,32866268,1.830861834123668,-0.560245261482838,-0.0034937191945953877,20112,475,5.873179197813224,9.909071930830029,17.30795740101374,153529.55559176966,231555.0399576855
Antigua and Barbuda,Amer,spor,0.003264522,0,37.37236563,17.060816,-61.796428,213.8767163,26.15621474,15730.53824,24.7328,13.17,191.511,3.8,9.054964064,0.04,43,-89,249,-29.90219186,-414.3792347,405.4250467,-1.7718536,0.199718381,0.4948403449999996,97928,0.09615228142127297,-1.846931590243091,-0.6904140872409328,316,7,7.888248975701147,5.755742213586912,11.491987793755348,15022.450994608284,663528.306510906
Argentina,Amer,comm,0.004449984,0,16.2585101,-38.416097,-63.616672,48.74463612,14.56888061,12547.62491,91.748,5.5,191.032,5,11.24310827,0.02,142000,125000,165000,89727.01082,-13550.1944,199997.5923,12.0673849,0.064012166,7.880730520714286,45376763,-0.6737311965868041,-0.488982361865897,0.23109465415129743,1988277,49368,10.043523631245531,14.502778992508391,17.630510703788982,20801.4217056426,852580.6479408856
Armenia,Euro,comm,4.83401e-4,0,103.6802248,40.069099,45.038189,44.77818904,7.803381795,3991.370202,63.1276,7.11,341.01,4.2,11.48366772,0.04,20600,19600,21900,19663.22482,16466.25617,22761.10776,39.1041008,0.029710158,22.011748172500003,2963234,-1.412490999001275,0.3060320187398042,0.18992982303530237,168299,3126,10.370465609350164,12.033497438390597,14.901791797450244,12069.757909770206,316183.26463586744
Australia,WPac,spor,7.5371e-4,0,3.24787091,-25.274398,133.775136,40.40741638,21.96657147,54634.02203,85.9082,5.07,107.791,3.84,15.92120175,0.06,-18100,-21400,-14400,-14254.57046,-32137.31436,2928.210888,-3.8317474,0.016834541,2.412578536375,25687041,-1.9088352044954282,0.08435344929040361,-0.22992044874023762,29069,916,11.209729444476505,10.277427593236435,17.061497181447944,4472.949383309661,795641.0393863582
Austria,Euro,comm,0.002054762,0,107.1279669,47.516231,14.550072,98.31900946,7.202214904,47699.46776,58.1052,6.35,145.183,7.37,19.07560629,0.09,18300,16400,20200,11938.43491,2684.639734,20926.78588,6.8789646,0.018112896,13.855235554833333,8917205,-2.1472695650796734,0.46887928842915316,-0.43669408717913216,417278,7861,12.196144388083386,12.9415079453241,16.00349311464753,4762.659950062829,751493.4332002013
Azerbaijan,Euro,clust,3.4459e-4,0,120.2343172,40.143105,47.576927,35.98206744,12.41966824,4612.313512,55.3578,7.11,559.812,4.7,6.44638912,0.04,53500,51400,55600,57008.42611,44356.03869,69284.98743,34.5268822,0.034696327,23.986238015166666,10110116,-1.2252470863543312,0.32347878676940145,0.4122027918971026,230535,3152,10.126359867068969,12.348157973709522,16.12904706471916,25664.380121850234,511512.72646129876
Bahamas,Amer,clust,0.011330111,0,38.52547453,25.03428,-77.39628,110.0077478,25.40345449,32841.51708,82.932,13.17,235.954,2.9,7.483272654,0.06,1060,547,1440,1002.641387,-709.4424088,3066.179713,18.4657923,0.123914783,10.985089736666666,393248,-0.2876464167651019,-1.3999955666051704,0.5229700363348675,8289,176,9.018411290364357,9.022684613591526,12.882195735084323,26071.659665147694,401522.70323053136
Bahrain,EMed,clust,1.73699e-4,0,2017.2737,25.930414,50.637772,5.931829167,27.91451058,23296.12435,89.1912,16.52,151.689,2,2.518809729,0.04,3920,3060,4780,665.8519052,-2242.149535,4096.302021,7.0257312,0.106305641,19.40457139975,1701583,-1.2793727988482309,0.4639857452150467,-0.03248961406733615,108049,383,12.635825975530723,11.590340106917656,14.347069552221173,4966.129187938525,694397.5110235587
Bangladesh,SEAs,comm,5.37e-5,4.98385e-4,1239.579312,23.684994,90.356331,193.0744926,25.3337391,1553.615589,35.8572,8.38,298.003,0.8,5.180351348,0.03,413000,347000,504000,140764.3543,-276185.8561,642414.362,8.7349725,0.097473982,6.880781073800001,164689383,2.0251622556533144,4.503829133441293,-0.631326504655101,538378,8221,8.477455400601341,13.19631619466501,18.91957173041068,36435.18861200664,444550.7698574595
Barbados,Amer,comm,0.00522789,0,666.6069767,13.193887,-59.543198,186.4684396,26.70339359,17342.02081,31.1812,13.57,170.05,5.8,16.23099033,0.03,553,319,789,-355.8809835,-1333.477957,679.2686983,-4.8921953,0.065575352,8.225579868,287371,-0.3000513764996253,-1.6445151034876149,0.399691551031629,1709,18,7.888248975701147,7.443663683115591,12.568529342873353,19986.963889884504,549982.426897634
Belarus,Euro,comm,0.001883456,0,46.71950379,53.709807,27.953389,52.53906904,7.362349006,5945.370122,78.123,5.18,443.129,11,15.20084135,0.07,85600,81600,93400,48892.62925,15441.93602,87658.10879,20.2855775,0.080188496,16.42645641,9398861,-1.5377975652629492,-0.45752570256925573,0.11470500050848621,258113,1782,10.126359867068969,12.461152752512666,16.056099069685764,10468.00055240736,501204.9864339945
Belgium,Euro,comm,0.002212431,0,377.3795905,50.503887,4.469936,72.66912532,10.57346205,44234.45458,97.9596,4.29,114.898,5.64,19.00656607,0.12,32800,30400,35000,17918.21138,6102.830621,29521.06949,7.8981706,0.018767748,7.136279514,11555997,-2.1311301076767304,0.3998556812765912,-0.4400917110871161,724375,21361,11.88366929241324,13.493064493076153,16.26271508096283,10207.45971983205,773537.1513163252
Belize,Amer,comm,0.006787961,3.88038e-4,16.79399386,17.189877,-88.49765,174.3321341,25.63707083,4836.366928,45.6184,17.11,176.957,1.3,4.86738926,0.04,982,540,1330,697.1281414,-207.3753471,1765.595552,16.7979292,0.150876434,21.118961807142856,397621,-0.11057856524402299,-0.4533753145555977,0.44763580571745937,12037,306,8.899861618519365,9.395740518379736,12.893254569271202,27588.646147965024,580864.6927601913
Benin,Afri,comm,0.005729919,0.32736205,101.8539198,9.30769,2.315834,87.34315218,27.88625321,1152.188106,46.773,0.99,235.848,0.5,3.264884925,0.02,8250,5560,11500,11853.45923,-34599.31972,68197.56873,6.2883137,0.09669516,5.116991458400001,12123198,0.9113979042063735,0.3083361703001924,-1.6832380321037568,4193,55,8.545386401466882,8.341171747170762,16.31063136518629,234349.62581655435,140516.0585515472
