Province_State,Cases_1July2021_cumulative,Deaths_1July2021_cumulative,Cases_propPop,Deaths_propPop,Lat,Long,Population,Density,%urban,HIV,Malaria,Ascariasis,Trichuriasis,Hookworm,Tested_1July2021_cumulative,Rainfall_monthly2017,Mean_age,Health_expenditure
Andaman and Nicobar Islands,7469,128,0.017909725,0.000306928,11.225999,92.968178,417036,46,0.16,NA,NA,NA,NA,NA,410741,240.8333333,NA,3151506
Andhra Pradesh,1893354,12744,0.03512495,0.000236423,15.9129,79.74,53903393,308,0.26,0.005240011,0.004747256,0.140575711,0,0.00699537,22084192,71.96666667,27.6,53470483
Arunachal Pradesh,36168,176,0.023030224,0.000112069,27.768456,96.384277,1570458,17,0,0.000203406,0.006621634,0.191311965,0.066099504,0.005341252,771020,228.775,NA,5357577
Assam,511153,4577,0.014355392,0.000128542,26.357149,92.830441,35607039,398,0.24,0.000547958,0.002655519,0.182499972,0.074526887,0.016367509,14986456,225.975,23.8,28643237
Bihar,722101,9592,0.005786069,7.69E-05,25.679658,85.60484,124799926,"1,106",0.74,0.000609329,0.001804822,0.098572588,0.101578423,0.046988592,33334290,92.66666667,19.9,46528287
Chandigarh,61687,808,0.053248544,0.00069747,30.733839,76.768278,1158473,"9,258",1,0.000718105,0.017875663,0.075733719,0.090816739,0.036034018,568854,35.13333333,NA,3744305
Chhattisgarh,994890,13445,0.033798145,0.00045675,21.264705,82.035366,29436231,189,0.2,NA,NA,NA,NA,NA,10383899,93.7,24.2,27543544
Dadra and Nagar Haveli and Daman and Diu,10564,4,0.017157038,6.50E-06,20.194742,73.080901,615724,1445.5,0.63,NA,NA,NA,NA,NA,72410,54.34166667,NA,1642270
Delhi,1434281,24981,0.076654747,0.001335103,28.646519,77.10898,18710922,"11,320",1,0.00150544,0.003763004,0.066970075,0.061085281,0.005012717,21559572,35.13333333,26.2,37594067
Goa,166920,3060,0.105229314,0.001929078,15.359682,74.057396,1586250,394,0.45,0.001669121,0.010120504,0.051336596,0.05582425,0,926632,286.95,NA,5750373
Gujarat,823607,10062,0.012894568,0.000157533,22.694884,71.590923,63872399,308,0.33,0.001038344,0.007432166,0.071118503,0.072208736,0.010986465,23754343,69.85416667,26,71993325
Haryana,768724,9446,0.027255182,0.000334909,29.20004,76.332824,28204692,573,0.39,0.000854951,0.002811691,0.010243284,0.007198946,0.008368882,10075025,35.13333333,24.9,27058044
Himachal Pradesh,202290,3464,0.027145897,0.000464844,31.927213,77.233081,7451955,123,0.07,0.000687922,0.000505727,0.086233212,0.061808851,0,2451440,98.51666667,28.2,15330549
Jammu and Kashmir,315960,4327,0.023221562,0.000318014,33.75943,76.612638,13606320,56,0.31,0.00040534,0.000592638,0.125273528,0.069423602,0,10017517,106.575,23.3,19539174
Jharkhand,345706,5113,0.008957518,0.000132482,23.654536,85.557631,38593948,414,0.34,0.000498873,0.013225448,0.137364178,0.097106902,0.066852739,10035595,97.15,22.1,21822461
Karnataka,2847013,35134,0.042138837,0.000520021,14.70518,76.166436,67562686,319,0.31,0.003774526,0.003659578,0.066807537,0.00962489,0.002050612,34425805,131.9138889,27.4,60153923
Kerala,2937034,13360,0.082271144,0.000374236,10.450898,76.405749,35699443,860,0.78,0.000220202,0.001314503,0.054185902,0,0,23198555,222.075,31.9,47715032
Ladakh,20090,202,0.073243914,0.00073645,34.1526,77.5771,274289,NA,NA,NA,NA,NA,NA,NA,359314,106.575,NA,NA
Lakshadweep,9808,49,0.152229586,0.000760527,13.6999972,72.1833326,64429,"2,149",0.93,NA,NA,NA,NA,NA,184431,144.9083333,NA,581140
Madhya Pradesh,789844,8981,0.009253205,0.000105214,23.541513,78.289633,85358965,236,0.18,0.001092898,0.005649822,0.104567841,0.089573952,0.030050279,12150837,67.04583333,23.3,55229521
Maharashtra,6070599,122197,0.049296661,0.000992308,19.449759,76.108221,123144223,365,0.36,0.002562039,0.002651249,0.046516096,0.019626224,0,41875217,70.91666667,28.2,100521782
Manipur,70298,1162,0.022738792,0.000375864,24.738975,93.882541,3091545,128,0.27,0.007493812,0.004036759,0.272174095,0.065688325,0.012071142,906459,233.7833333,NA,4856580
Meghalaya,50090,844,0.014878026,0.00025069,25.536934,91.278882,3366710,132,0.12,0.000235811,0.011145301,0.234127575,0.071780652,0.010744092,701787,225.975,NA,6438624
Mizoram,20492,93,0.016535888,7.50E-05,23.309381,92.83822,1239244,52,0.06,0.006626276,0.008173758,0.143653338,0.066837994,0.007603426,488984,233.7833333,NA,4506119
Nagaland,25305,498,0.011248191,0.000221363,26.06702,94.470302,2249695,119,0.11,0.008060016,0.004555831,0.158244441,0.070249238,0.00950357,227838,225.975,NA,4649643
Odisha,912887,4116,0.019692821,8.88E-05,20.505428,84.418059,46356334,270,0.23,0.000541449,0.01514149,0.07887782,0.085633653,0.034778723,13833870,112.0416667,26.6,37435595
Puducherry,117465,1751,0.083099759,0.001238732,11.882658,78.86498,1413542,"2,547",0.93,0.002002164,0.00291868,0.179673974,0.258719809,0,1324645,125.0416667,NA,NA
Punjab,595899,16072,0.019770135,0.000533221,30.841465,75.40879,30141373,551,0.32,0.000944141,0.000854592,0.100653071,0,0.005612036,10947245,41.45833333,27.7,28005392
Rajasthan,952497,8923,0.011754478,0.000110116,26.583423,73.847973,81032689,200,0.18,0.000568756,0.002299699,0.006984629,0.006631951,0.004557597,11910687,42.025,22.4,78183293
Sikkim,20666,308,0.029939833,0.000446214,27.571671,88.472712,690251,86,0.03,0.000206246,0.000500606,0.090238571,0,0.00666024,164498,223.7416667,NA,2618237
Tamil Nadu,2484177,32721,0.031913368,0.000420355,11.006091,78.400624,77841267,555,0.44,0.001882857,0.000898153,0.146820267,0,0,33001904,81.08333333,29.9,85248545
Telangana,624379,3669,0.015862187,9.32E-05,18.1124,79.0193,39362732,NA,0.31,0.004305339,0.004245469,0.131873693,0.070003736,0.011230129,18777030,67.975,26.7,39476048
Tripura,66217,679,0.015880161,0.000162838,23.746783,91.743565,4169794,350,0.22,0.000204312,0.005328113,0.238924025,0.061228937,0.007600225,1289528,233.7833333,NA,6104618
Uttar Pradesh,1706252,22601,0.00717266,9.50E-05,26.925425,80.560982,237882725,829,0.55,0.000386987,0.004087776,0.091596223,0.089204571,0.025649986,58111746,53.34166667,21.5,137962248
Uttarakhand,340379,7324,0.030253604,0.000650973,30.156447,79.197608,11250858,189,0.28,0.000545183,0.002980386,0.073476601,0.047389691,0,5555584,123,21.5,14962656
West Bengal,1501284,17735,0.015071725,0.000178046,23.814082,87.979803,99609303,"1,028",0.69,0.000517357,0.004040475,0.15985779,0.06382337,0.007628707,14272933,177.2291667,27,79762114
