country,meanAge,HIV.AIDS,Genital.herpes,Ascariasis,Malaria,Trichuriasis,Tuberculosis,popDen,rain,temp,PerUrb,HCexpend,Hookworm,Schistosomiasis,Lymphatic.filariasis,Diabetes,cardioDR,spatLag,reg,trans,pop,cases,deaths,log_tests,log_cases,log_pop
Afghanistan,19.5,1.41588e-4,0.059984655,0.191078231,0.01072646,0.058064598,0.16662204,56.93776001,26.84327013,13.54560946,25.2644,521.6847275,0.014738821,0,0,9.59,597.029,5966.3475,EMed,clust,38928341,55395,2414,9.974744747021074,10.922244615954773,17.477233103728686
Albania,34.3,1.23e-5,0.080235601,0,0,0,0.173748103,104.6122628,82.68188798,12.10643452,59.3572,4649.100558,0,0,0,10.08,304.195,48416.3083333333,Euro,clust,2837743,85087,1453,9.93665314345912,11.351429541435136,14.858519575871526
Algeria,28.9,2.39969e-4,0.104315389,0.034601499,5.3e-5,0.029352264,0.098426038,17.73007507,6.835601538,23.43961026,72.0354,4074.3967940000002,0.002620166,0.00776125,0,6.73,278.364,31122.975,Afri,comm,43851043,109321,2938,10.50724211664116,11.602043787457173,17.59630906213243
Andorra,46.2,0.001381292,0.123036984,0,0,0,0.080270792999999993,163.8425532,63.13818955,11.95374638,88.1578,38975.90305,0,0,0,7.97,109.135,35199.178,Euro,comm,77265,10275,106,10.340895867124265,9.237469039364436,11.254996350667795
Angola,15.9,0.013121521,0.218327663,0.075926409,0.118632222,0.059438017,0.290412017,24.71305206,80.56724208,22.13381538,64.825,3569.847758,0.06456734,0.05386833,0.015869857,3.94,276.045,5832.41285714286,Afri,comm,32866268,20114,460,8.937089426895175,9.909171369004426,17.30795740101374
Antigua and Barbuda,32.7,0.003264522,0.255705792,0.014851097,0,0.032754872,0.210553689,37.37236563,213.8767163,26.15621474,24.7328,15730.53824,0.006211288,0.085497807,0,13.17,191.511,13727.9616666667,Amer,spor,97928,316,7,10.902160304839956,5.755742213586912,11.491987793755348
Argentina,32.4,0.004449984,0.187137738,0.014655095,0,0.032611537,0.188152287,16.2585101,48.74463612,14.56888061,91.748,12547.62491,0.006908173,0,0,5.5,191.032,19448.382,Amer,comm,45376763,1988274,49370,10.043523631245531,14.502777483663165,17.630510703788982
Armenia,36.6,4.83401e-4,0.106599781,0.011799811,0,0.002192676,0.202106634,103.6802248,44.77818904,7.803381795,63.1276,3991.370202,0.007776349,0,0,7.11,341.01,26311.5375,Euro,comm,2963234,168300,3126,10.370465609350164,12.033503380178898,14.901791797450244
Australia,37.5,7.5371e-4,0.134291727,0,0,0,0.114278189,3.24787091,40.40741638,21.96657147,85.9082,54634.02203,0,0,0,5.07,107.791,3161.15714285714,WPac,spor,25687041,29078,925,11.209729444476505,10.27773715349137,17.061497181447944
Austria,44.5,0.002054762,0.110889052,0,0,0,0.080261903,107.1279669,98.31900946,7.202214904,58.1052,47699.46776,0,0,0,6.35,145.183,66998.8716666667,Euro,comm,8917205,417281,7865,12.196144388083386,12.941515134749892,16.00349311464753
Azerbaijan,32.6,3.4459e-4,0.097465891,0.014524798,0,0.002441868,0.243663008,120.2343172,35.98206744,12.41966824,55.3578,4612.313512,0.008617664,0,0,7.11,559.812,28564.595,Euro,clust,10110116,230531,3154,10.705748190482563,12.348140622614451,16.12904706471916
Bahamas,32.8,0.011330111,0.248152837,0.009967219,0,0.033302834,0.231260043,38.52547453,110.0077478,25.40345449,82.932,32841.51708,0.006249382,0,0,13.17,235.954,24474.8583333333,Amer,clust,393248,8289,176,11.268481051117323,9.022684613591526,12.882195735084323
Bahrain,32.9,1.73699e-4,0.115550152,0.014914745,0,0.025785107,0.146110917,2017.2737,5.931829167,27.91451058,89.1912,23296.12435,0.002197242,0,0,16.52,151.689,30525.3725,EMed,clust,1701583,108049,383,12.635825975530723,11.590340106917656,14.347069552221173
Bangladesh,27.9,5.37e-5,0.065889817,0.325112124,4.98385e-4,0.107955917,0.078221645,1239.579312,193.0744926,25.3337391,35.8572,1553.615589,0.014830542,0,0.004276176,8.38,298.003,4838.524,SEAs,comm,164689383,538370,8234,8.477455400601341,13.196301335106412,18.91957173041068
Barbados,39.5,0.00522789,0.274008772,0.010805184,0,0.031499789,0.20969733,666.6069767,186.4684396,26.70339359,31.1812,17342.02081,0.007768537,0,0,13.57,170.05,10438.53625,Amer,comm,287371,1709,18,11.081838649027961,7.443663683115591,12.568529342873353
Belarus,40.9,0.001883456,0.16493793,0,0,0,0.171825734,46.71950379,52.53906904,7.362349006,78.123,5945.370122,0,0,0,5.18,443.129,40839.10625,Euro,comm,9398861,258112,1786,10.126359867068969,12.46114887823304,16.056099069685764
Belgium,41.6,0.002212431,0.116865479,0,0,0,0.079053598,377.3795905,72.66912532,10.57346205,97.9596,44234.45458,0,0,0,4.29,114.898,62592.925,Euro,comm,11555997,724376,21355,11.88366929241324,13.493065873575631,16.26271508096283
Belize,23.9,0.006787961,0.198746406,0.043456408,3.88038e-4,0.03985373,0.228957292,16.79399386,174.3321341,25.63707083,45.6184,4836.366928,0.007686635,0,0,17.11,176.957,21896.6585714286,Amer,comm,397621,12037,306,10.467384934580316,9.395740518379736,12.893254569271202
Benin,17,0.005729919,0.133067377,0.059396369,0.32736205,0.039268383,0.189676198,101.8539198,87.34315218,27.88625321,46.773,1152.188106,0.085212644,0.105927833,0.002789872,0.99,235.848,1651.914,Afri,comm,12123198,4195,61,8.376725583917997,8.341648618901306,16.31063136518629
Bermuda,43.6,0.002899534,0.29456357,0.007031418,0,0.026163101,0.156496414,1183.703683,109.608798479691,18.358337852578,100,110164.5579,0.005664402,0,0,13,139.547,30429.825,Amer,spor,63903,710,12,12.320042860254244,6.565264970035361,11.065121587620395
Bhutan,29.1,9.928e-4,0.065167918,0.212127821,9.31135e-4,0.061556721,0.061241106,19.77752777,159.6253066,12.25373468,40.156,3105.89273,0.012282557,0,0,9.75,217.066,4826.895,SEAs,clust,771612,861,1,11.41074537528063,6.7580945044277305,13.556237111992312
Bolivia (Plurinational State of),25.3,0.001441466,0.216895313,0.033865613,0.001358619,0.036163061,0.185022568,10.48014585,91.00180651,20.90170128,69.0818,3312.882825,0.005664131,0,0,6.89,204.299,27434.6216666667,Amer,comm,11673029,227963,10798,9.217855462810176,12.336938614065886,16.272791524997345
Bosnia and Herzegovina,43.3,4.18e-5,0.088018895,0,0,0,0.193829225,64.92048828,90.6193324,10.48909301,47.8876,5459.4494780000005,0,0,0,10.08,329.635,59660.3228571429,Euro,comm,3280815,124100,4813,10.252257504189952,11.728842971192698,15.00360242510513
Botswana,25.7,0.157515946,0.30111756,0.00646852,8.07414e-4,0.045683201,0.154839046,3.977424876,31.47796862,22.29560192,68.6812,7635.579977,0.027755064,0.112411698,0,4.81,237.372,9062.59428571429,Afri,comm,2351625,24436,179,10.176889763385793,10.103812733769658,14.670617136513432
Brazil,33.2,0.004276361,0.28641381,0.022907849,7.25891e-4,0.036629627,0.270806068,25.06171624,147.6897981,25.50485192,86.3028,9033.580888,0.009106958,0.029321899,4.93627e-4,8.11,177.961,13421.78625,Amer,comm,212559409,9524575,231477,5.478490784409432,16.06938585855899,19.174732079020547
