Country,WHO_Region,Cases._perMil,Deaths._perMil,mean._age,Transmission_Classification,HIV.AIDS,Genital.herpes,Ascariasis,Malaria,Trichuriasis,Tuberculosis,popDen_2018,latitude,longitude,Avg_Rainfall91.2016_mm,Avg_temp91.2016_c,GDPpc,PerUrb,HCexpend,inv_simpsons,Hookworm.disease,Schistosomiasis,Lymphatic.filariasis,inf_diseaseBurden,Total_tests_per_thousand,Diabetes_prevalence,Cardiovasc_death_rate,Spatial_lag
Afghanistan,Eastern Mediterranean,1422.72,62.01,19.5,Clusters_of_cases,0.000141588,0.059984655,0.191078231,0.01072646,0.058064598,0.16662204,56.93776001,33.93911,67.709953,26.84327013,13.54560946,521.6847275,25.2644,521.6847275,4.201166,0.014738821,0,0,3342377.718,NA,9.59,597.029,5966.3475
Albania,Europe,29984.39,511.5,34.3,Clusters_of_cases,1.23E-05,0.080235601,0,0,0,0.173748103,104.6122628,41.153332,20.168331,82.68188798,12.10643452,4649.100558,59.3572,4649.100558,2.550607,0,0,0,25437.10223,20674.434,10.08,304.195,48416.30833
Algeria,Africa,2492.83,66.54,28.9,Community_transmission,0.000239969,0.104315389,0.034601499,5.30E-05,0.029352264,0.098426038,17.73007507,28.033886,1.659626,6.835601538,23.43961026,4074.396794,72.0354,4074.396794,4.54016,0.002620166,0.00776125,0,469883.1626,NA,6.73,278.364,31122.975
Andorra,Europe,132983.89,1371.9,46.2,Community_transmission,0.001381292,0.123036984,0,0,0,0.080270793,163.8425532,42.546245,1.601554,63.13818955,11.95374638,38975.90305,88.1578,38975.90305,2.289178,0,0,0,576.2917623,30973.766,7.97,109.135,35199.178
Angola,Africa,611.93,14.45,15.9,Community_transmission,0.013121521,0.218327663,0.075926409,0.118632222,0.059438017,0.290412017,24.71305206,-11.202692,17.873887,80.56724208,22.13381538,3569.847758,64.825,3569.847758,6.103529,0.06456734,0.05386833,0.015869857,5045943.52,NA,3.94,276.045,5832.412857
Antigua and Barbuda,Americas,3226.83,71.48,32.7,Sporadic_cases,0.003264522,0.255705792,0.014851097,0,0.032754872,0.210553689,37.37236563,17.060816,-61.796428,213.8767163,26.15621474,15730.53824,24.7328,15730.53824,3.970921,0.006211288,0.085497807,0,1471.118581,NA,13.17,191.511,13727.96167
Argentina,Americas,43817.08,1087.96,32.4,Community_transmission,0.004449984,0.187137738,0.014655095,0,0.032611537,0.188152287,16.2585101,-38.416097,-63.616672,48.74463612,14.56888061,12547.62491,91.748,12547.62491,3.281138,0.006908173,0,0,943901.1828,23006.306,5.5,191.032,19448.382
Armenia,Europe,56795.88,1054.93,36.6,Community_transmission,0.000483401,0.106599781,0.011799811,0,0.002192676,0.202106634,103.6802248,40.069099,45.038189,44.77818904,7.803381795,3991.370202,63.1276,3991.370202,3.222748,0.007776349,0,0,35765.51701,31903.328,7.11,341.01,26311.5375
Australia,Western Pacific,1131.65,35.65,37.5,Sporadic_cases,0.00075371,0.134291727,0,0,0,0.114278189,3.24787091,-25.274398,133.775136,40.40741638,21.96657147,54634.02203,85.9082,54634.02203,2.452284,0,0,0,114896.8342,73845.433,5.07,107.791,3161.157143
Austria,Europe,46794.73,881.6,44.5,Community_transmission,0.002054762,0.110889052,0,0,0,0.080261903,107.1279669,47.516231,14.550072,98.31900946,7.202214904,47699.46776,58.1052,47699.46776,2.381989,0,0,0,42469.61512,198024.173,6.35,145.183,66998.87167
