country,popDen,rain,PerUrb,HCexpend,Diabetes,cardioDR,spatLag,reg,trans,pop,PathCompPC2,PathCompPC3,ageDivPC1,cases,deaths,log_tests,log_cases,log_pop,IDburd_perMil
Afghanistan,56.93776001,26.84327013,25.2644,521.6847275,9.59,597.029,5966.3475,EMed,clust,38928341,2.481704023292963,0.34660876801392104,0.9564905777704116,55395,2414,9.974744747021074,10.922244615954773,17.477233103728686,85859.75235882771
Albania,104.6122628,82.68188798,59.3572,4649.100558,10.08,304.195,48416.3083333333,Euro,clust,2837743,0.32045908258265177,-0.24814792511893075,-0.9099466511385167,85087,1453,9.93665314345912,11.351429541435136,14.858519575871526,8963.849872944802
Algeria,17.73007507,6.835601538,72.0354,4074.3967940000002,6.73,278.364,31122.975,Afri,comm,43851043,0.6445971174564397,-0.4250560197564113,0.4002765340881864,109321,2938,10.50724211664116,11.602043787457173,17.59630906213243,10715.438686372865
Andorra,163.8425532,63.13818955,88.1578,38975.90305,7.97,109.135,35199.178,Euro,comm,77265,0.043015557613858724,-0.72302871807986,-1.927305910863787,10275,106,10.340895867124265,9.237469039364436,11.254996350667795,7458.639258396427
Angola,24.71305206,80.56724208,64.825,3569.847758,3.94,276.045,5832.41285714286,Afri,comm,32866268,-0.13413791306619716,0.2971527712280366,2.091217388486701,20114,460,8.937089426895175,9.909171369004426,17.30795740101374,153529.55559176966
Antigua and Barbuda,37.37236563,213.8767163,24.7328,15730.53824,13.17,191.511,13727.9616666667,Amer,spor,97928,-1.34226639101653,0.14579308990410034,-0.144911863184548,316,7,10.902160304839956,5.755742213586912,11.491987793755348,15022.450994608284
Argentina,16.2585101,48.74463612,91.748,12547.62491,5.5,191.032,19448.382,Amer,comm,45376763,-0.42094909903905076,0.48892617545901784,-0.43510738929740966,1988274,49370,10.043523631245531,14.502777483663165,17.630510703788982,20801.4217056426
Armenia,103.6802248,44.77818904,63.1276,3991.370202,7.11,341.01,26311.5375,Euro,comm,2963234,0.16832094030109723,0.029869708545828606,-0.778809371651402,168300,3126,10.370465609350164,12.033503380178898,14.901791797450244,12069.757909770206
Australia,3.24787091,40.40741638,85.9082,54634.02203,5.07,107.791,3161.15714285714,WPac,spor,25687041,-0.09472967975993468,-0.45466073671768753,-1.1962320948774599,29078,925,11.209729444476505,10.27773715349137,17.061497181447944,4472.949383309661
Austria,107.1279669,98.31900946,58.1052,47699.46776,6.35,145.183,66998.8716666667,Euro,comm,8917205,0.1385878758051952,-0.768550455262711,-1.7568129399356676,417281,7865,12.196144388083386,12.941515134749892,16.00349311464753,4762.659950062829
