country,cases,deaths,meanAge,HIV.AIDS,Genital.herpes,Ascariasis,Malaria,Trichuriasis,Tuberculosis,popDen,rain,temp,GDPpc,PerUrb,HCexpend,invSimp,Hookworm,Schistosomiasis,Lymphatic.filariasis,IDBurd,tests,Diabetes,cardioDR,spatLag,reg,trans,PropOver 70,AirConnectivityIndex
Afghanistan,1423,62,19.5,1.42E-04,0.059984655,0.191078231,0.01072646,0.058064598,0.16662204,56.93776001,26.84327013,13.54560946,521.6847275,25.2644,521.6847275,4.201166,0.014738821,0,0,3342377.718,21477.14761,9.59,597.029,5966.3475,EMed,clust,2.615794214,0.03
Albania,29984,512,34.3,1.23E-05,0.080235601,0,0,0,0.173748103,104.6122628,82.68188798,12.10643452,4649.100558,59.3572,4649.100558,2.550607,0,0,0,25437.10223,20674.434,10.08,304.195,48416.30833,Euro,clust,14.20263062,0.07
Algeria,2493,67,28.9,2.40E-04,0.104315389,0.034601499,5.30E-05,0.029352264,0.098426038,17.73007507,6.835601538,23.43961026,4074.396794,72.0354,4074.396794,4.54016,0.002620166,0.00776125,0,469883.1626,36579.45843,6.73,278.364,31122.975,Afri,comm,6.552777882,0.07
Andorra,132984,1372,46.2,0.001381292,0.123036984,0,0,0,0.080270793,163.8425532,63.13818955,11.95374638,38975.90305,88.1578,38975.90305,2.289178,0,0,0,576.2917623,30973.766,7.97,109.135,35199.178,Euro,comm,NA,NA
Angola,612,14,15.9,0.013121521,0.218327663,0.075926409,0.118632222,0.059438017,0.290412017,24.71305206,80.56724208,22.13381538,3569.847758,64.825,3569.847758,6.103529,0.06456734,0.05386833,0.015869857,5045943.52,7609.018191,3.94,276.045,5832.412857,Afri,comm,2.19934175,0.01
Antigua and Barbuda,3227,71,32.7,0.003264522,0.255705792,0.014851097,0,0.032754872,0.210553689,37.37236563,213.8767163,26.15621474,15730.53824,24.7328,15730.53824,3.970921,0.006211288,0.085497807,0,1471.118581,54293.52777,13.17,191.511,13727.96167,Amer,spor,9.054964064,0.04
Argentina,43817,1088,32.4,0.004449984,0.187137738,0.014655095,0,0.032611537,0.188152287,16.2585101,48.74463612,14.56888061,12547.62491,91.748,12547.62491,3.281138,0.006908173,0,0,943901.1828,23006.306,5.5,191.032,19448.382,Amer,comm,11.24310827,0.02
Armenia,56796,1055,36.6,4.83E-04,0.106599781,0.011799811,0,0.002192676,0.202106634,103.6802248,44.77818904,7.803381795,3991.370202,63.1276,3991.370202,3.222748,0.007776349,0,0,35765.51701,31903.328,7.11,341.01,26311.5375,Euro,comm,11.48366772,0.04
Australia,1132,36,37.5,7.54E-04,0.134291727,0,0,0,0.114278189,3.24787091,40.40741638,21.96657147,54634.02203,85.9082,54634.02203,2.452284,0,0,0,114896.8342,73845.433,5.07,107.791,3161.157143,WPac,spor,15.92120175,0.06
Austria,46795,882,44.5,0.002054762,0.110889052,0,0,0,0.080261903,107.1279669,98.31900946,7.202214904,47699.46776,58.1052,47699.46776,2.381989,0,0,0,42469.61512,198024.173,6.35,145.183,66998.87167,Euro,comm,19.07560629,0.09
Azerbaijan,22802,312,32.6,3.45E-04,0.097465891,0.014524798,0,0.002441868,0.243663008,120.2343172,35.98206744,12.41966824,4612.313512,55.3578,4612.313512,2.984225,0.008617664,0,0,259469.8601,44611.55524,7.11,559.812,28564.595,Euro,clust,6.44638912,0.04
Bahamas,21079,448,32.8,0.011330111,0.248152837,0.009967219,0,0.033302834,0.231260043,38.52547453,110.0077478,25.40345449,32841.51708,82.932,32841.51708,3.314203,0.006249382,0,0,10252.62802,78313.95189,13.17,235.954,24474.85833,Amer,clust,7.483272654,0.06
Bahrain,63499,225,32.9,1.74E-04,0.115550152,0.014914745,0,0.025785107,0.146110917,2017.2737,5.931829167,27.91451058,23296.12435,89.1912,23296.12435,3.507296,0.002197242,0,0,8450.281002,307375.675,16.52,151.689,30525.3725,EMed,clust,2.518809729,0.04
Bangladesh,3269,50,27.9,5.37E-05,0.065889817,0.325112124,4.98E-04,0.107955917,0.078221645,1239.579312,193.0744926,25.3337391,1553.615589,35.8572,1553.615589,3.234086,0.014830542,0,0.004276176,6000488.732,4805.207,8.38,298.003,4838.524,SEAs,comm,5.180351348,0.03
Barbados,5947,63,39.5,0.00522789,0.274008772,0.010805184,0,0.031499789,0.20969733,666.6069767,186.4684396,26.70339359,17342.02081,31.1812,17342.02081,3.170846,0.007768537,0,0,5743.6738,64980.24951,13.57,170.05,10438.53625,Amer,comm,16.23099033,0.03
Belarus,27462,190,40.9,0.001883456,0.16493793,0,0,0,0.171825734,46.71950379,52.53906904,7.362349006,5945.370122,78.123,5945.370122,2.725554,0,0,0,98387.28214,24993.22,5.18,443.129,40839.10625,Euro,comm,15.20084135,0.07
Belgium,62684,1848,41.6,0.002212431,0.116865479,0,0,0,0.079053598,377.3795905,72.66912532,10.57346205,44234.45458,97.9596,44234.45458,2.274107,0,0,0,117957.3739,144881.188,4.29,114.898,62592.925,Euro,comm,19.00656607,0.12
Belize,30272,770,23.9,0.006787961,0.198746406,0.043456408,3.88E-04,0.03985373,0.228957292,16.79399386,174.3321341,25.63707083,4836.366928,45.6184,4836.366928,3.77912,0.007686635,0,0,10969.82507,35150.17706,17.11,176.957,21896.65857,Amer,comm,4.86738926,0.04
Benin,346,5,17,0.005729919,0.133067377,0.059396369,0.32736205,0.039268383,0.189676198,101.8539198,87.34315218,27.88625321,1152.188106,46.773,1152.188106,5.509188,0.085212644,0.105927833,0.002789872,2841066.915,4344.75906,0.99,235.848,1651.914,Afri,comm,3.264884925,0.02
Bermuda,11112,193,43.6,0.002899534,0.29456357,0.007031418,0,0.026163101,0.156496414,1183.703683,109.6087985,18.35833785,110164.5579,100,110164.5579,2.846269,0.005664402,0,0,812.2773207,224143.7487,13,139.547,30429.825,Amer,spor,NA,0.07
Bhutan,1116,1,29.1,9.93E-04,0.065167918,0.212127821,9.31E-04,0.061556721,0.061241106,19.77752777,159.6253066,12.25373468,3105.89273,40.156,3105.89273,3.81369,0.012282557,0,0,27708.77109,90286.694,9.75,217.066,4826.895,SEAs,clust,6.092974373,0.03
Bolivia (Plurinational State of),19529,925,25.3,0.001441466,0.216895313,0.033865613,0.001358619,0.036163061,0.185022568,10.48014585,91.00180651,20.90170128,3312.882825,69.0818,3312.882825,3.927734,0.005664131,0,0,527540.597,10075.434,6.89,204.299,27434.62167,Amer,comm,7.338631646,0.02
Bosnia and Herzegovina,37826,1467,43.3,4.18E-05,0.088018895,0,0,0,0.193829225,64.92048828,90.6193324,10.48909301,5459.449478,47.8876,5459.449478,2.46713,0,0,0,23754.6871,28346.462,10.08,329.635,59660.32286,Euro,comm,17.20115117,0.08
Botswana,10391,76,25.7,0.157515946,0.30111756,0.00646852,8.07E-04,0.045683201,0.154839046,3.977424876,31.47796862,22.29560192,7635.579977,68.6812,7635.579977,5.529895,0.027755064,0.112411698,0,462837.0162,26288.57632,4.81,237.372,9062.594286,Afri,comm,4.365895341,0.02
Brazil,44809,1089,33.2,0.004276361,0.28641381,0.022907849,7.26E-04,0.036629627,0.270806068,25.06171624,147.6897981,25.50485192,9033.580888,86.3028,9033.580888,3.608581,0.009106958,0.029321899,4.94E-04,4821292.12,239.485,8.11,177.961,13421.78625,Amer,comm,9.251608036,0.03
British Virgin Islands,4663,33,37.2,0.001329502,0.101604272,0,0,0,0.27618594,198.68,96.88542951,18.04622453,31562.83359,47.3432,31807.93021,2.219002,0,0,0.023342331,3261644.059,126519.4892,9.01342,179.0275615,17891.73,Amer,clust,NA,0.04
Brunei Darussalam,416,7,31.1,2.66E-04,0.121202378,0,0,0,0.195379223,81.39696395,272.6018391,25.71679615,29921.92243,77.3072,29921.92243,2.568537,0,0,0,4922.361015,105632.8854,12.79,201.285,5399.56,WPac,spor,5.208811752,0.03
Bulgaria,32360,1356,43.7,0.004212876,0.137242689,0.15046198,0.31023491,0.03316745,0.198971216,64.71109985,52.67103913,11.28779103,8438.950271,74.6686,8438.950271,5.15629,0.026302201,0.008633084,0.005708985,75492.24605,35540.91,5.81,424.688,36623.05571,Euro,clust,21.25296727,0.07
Burkina Faso,541,6,17.9,0.0073639,0.18515429,0.084708166,0.353547631,0.096215259,0.229124914,72.19128289,66.58027099,28.69861186,735.3127105,28.749,735.3127105,6.419935,0.110207211,0.094830772,0,6668974.485,6786.223429,2.42,269.048,838.2216667,Afri,comm,2.407287537,0.02
Burundi,145,0,17.7,0.016703432,0.153722651,0.041483709,0.28462141,0.030999333,0.21036991,435.178271,103.0768135,20.88023718,282.7480102,12.714,282.7480102,6.349234,0.044514899,0.082007971,0.105871136,2458859.325,5894.553801,6.05,293.068,1241.16,Afri,comm,2.312095315,0.02
